Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_DONT_MAP_MASTER;DTX_SECTIONSFIXED;DTX_ALPHA_MASK;DTX_FULLBRITE;Unknown;Surface Flag;Texture Group;Software Alpha Cutoff;Software Average Alpha;Unknown1;Unknown2;Unknown3;Unknown4;Unknown5;Unknown6;Unknown7;Unknown8;Light String
Blood2\SKINS\AMMO\BEAMBLUE.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;8;0;0;0;251;196;63;53;137;481;
Blood2\SKINS\AMMO\BEAMGREEN.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;177;219;63;53;137;481;
Blood2\SKINS\AMMO\BEAMORANGE.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;177;219;63;53;137;481;
Blood2\SKINS\AMMO\BEAMPURPLE.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;8;0;0;0;251;196;63;53;137;481;
Blood2\SKINS\AMMO\BEAMRED.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;8;0;0;0;251;196;63;53;137;481;
Blood2\SKINS\AMMO\BEAMWHITE.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;8;0;0;0;251;196;63;53;137;481;
Blood2\SKINS\AMMO\BEAMYELLOW.DTX;0;DTX_VERSION_LT1;8;8;4;'0000101000000000;;DTX_SECTIONSFIXED ;DTX_ALPHA_MASK ;;0;0;0;0;0;0;0;251;196;63;53;137;481;
Blood2\SKINS\AMMO\BSHELL.DTX;0;DTX_VERSION_LT1;16;16;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;120;86;4660;137;103;9029;
Blood2\SKINS\AMMO\C4_PROX.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;0;0;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\AMMO\C4_REMOTE.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;0;0;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\AMMO\C4_TIME.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100100000000;;DTX_SECTIONSFIXED ;;DTX_FULLBRITE ;0;0;0;0;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\AMMO\DEADLYDISC.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;177;199;31;180;202;106;
Blood2\SKINS\AMMO\ENERGYBEAM.DTX;0;DTX_VERSION_LT1;32;32;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;120;86;4660;137;103;9029;
Blood2\SKINS\AMMO\GRENADE.DTX;0;DTX_VERSION_LT1;32;32;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;120;86;4660;137;103;9029;
Blood2\SKINS\AMMO\MISSILE.DTX;0;DTX_VERSION_LT1;32;32;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;120;86;4660;137;103;9029;
Blood2\SKINS\AMMO\NAPALMBALL.DTX;0;DTX_VERSION_LT1;64;64;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;95;31;41;235;11;139;
Blood2\SKINS\AMMO\PULSEBEAM.DTX;0;DTX_VERSION_LT1;32;32;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;2;8;0;0;0;47;116;61;212;238;353;
Blood2\SKINS\AMMO\SSHELL.DTX;0;DTX_VERSION_LT1;16;16;4;'0000100000000000;;DTX_SECTIONSFIXED ;;;0;0;0;0;0;0;0;120;86;4660;137;103;9029;
Blood2\SKINS\CAMERAOBJECT.DTX;0;DTX_VERSION_LT1;64;64;4;'0000000000000000;;;;;0;0;0;0;0;0;0;238;199;66;190;174;424;
Blood2\SKINS\CAMERASPOT.DTX;0;DTX_VERSION_LT1;64;64;4;'0000000100000000;;;;DTX_FULLBRITE ;0;0;0;0;0;0;0;238;199;66;190;174;424;
