Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
ATTACHMENTS\SKINS\BARON_ACTION_HAT.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\BARON_FORMAL_HAT.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\BROOM.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\CIGARETTE.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\COSMONAUT_ACTION_HELMET.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT5;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\COVERALL_ATTACHMENTS.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_8P;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\DISGUISE.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\FEATHERDUSTER.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\FEMALEGLASSES.DTX;0;DTX_VERSION_LT2;64;64;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\FROGMAN_ACTION_GEAR.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\GERMAN_ACTION_ATTACHMENTS.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\GERMAN_CASUAL_HAIR.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT5;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\HEADSET.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\HELI_A1.DTX;0;DTX_VERSION_LT2;16;16;1;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;0;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\HELI_A2.DTX;0;DTX_VERSION_LT2;16;16;1;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;0;BPP_32;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\HERO_SCUBA_GEAR.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_8P;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\LILY.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;3;BPP_32;0;0;0;0.0;0;alpharef 96;
ATTACHMENTS\SKINS\MONKEYMASK.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;0;BPP_32;0;0;0;5.0;0;Detailtex Tex\DetailTex\Dtl0007.dtx;
ATTACHMENTS\SKINS\MOROCCANAGENT_ACTION_FEZ.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\NERD_GLASSES.DTX;0;DTX_VERSION_LT2;64;64;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_8P;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\OVERCOATAGENT_ACTION_HAT.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_8P;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\PARACHUTE.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\PARATROOPER_GOGGLES.DTX;0;DTX_VERSION_LT2;64;64;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_8P;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\PILOT_HAT.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;3;BPP_S3TC_DXT1;0;0;0;0.0;0;;
ATTACHMENTS\SKINS\RAG.DTX;0;DTX_VERSION_LT2;64;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
